,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,engine_rpm,torque
36,Hyundai Getz 1.5 CRDi GVS,2009.0,150000.0,110000.0,1,1,1,2,17.1,1493.0,110.0,5.0,2000.0,190.0
37,Maruti Swift Dzire ZDI,2015.0,525000.0,40000.0,1,1,1,0,26.59,1248.0,74.0,5.0,1750.0,200.0
38,Hyundai Accent GLE,2004.0,80000.0,120000.0,3,1,1,2,13.2,1495.0,94.0,5.0,1750.0,200.0
39,Maruti SX4 ZDI,2012.0,600000.0,72000.0,1,1,1,0,21.5,1248.0,88.8,5.0,3500.0,114.0
40,Tata Indica V2 DLX TC,2006.0,85000.0,120000.0,1,1,1,4,16.8,1405.0,68.0,5.0,3500.0,114.0
41,Tata Tigor 2017-2020 XZ,2018.0,500000.0,35000.0,3,1,1,0,20.3,1199.0,83.81,5.0,4000.0,115.0
42,Honda City 2017-2020 GXi,2008.0,150000.0,70000.0,3,1,1,4,17.7,1497.0,78.0,5.0,4000.0,115.0
43,Maruti Baleno Delta 1.2,2016.0,575000.0,45000.0,3,1,1,0,21.4,1197.0,83.1,5.0,3500.0,69.0
44,Hyundai i20 Magna,2010.0,270000.0,60000.0,3,1,1,0,18.5,1197.0,80.0,5.0,3500.0,69.0
45,Maruti Alto 800 LXI,2017.0,275000.0,28000.0,3,1,1,0,24.7,796.0,47.3,5.0,1750.0,172.5
46,Hyundai Santro Xing XS,2007.0,95000.0,100000.0,3,1,1,2,17.8,1086.0,63.0,5.0,1750.0,172.5
47,Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,300000.0,70000.0,1,1,1,0,18.2,1248.0,73.8,7.0,3500.0,84.0
48,Tata Sumo GX,2008.0,270000.0,110000.0,1,1,1,4,14.4,2179.0,120.0,7.0,3500.0,84.0
49,Maruti Wagon R LXI Minor,2009.0,220000.0,120000.0,3,1,1,0,18.9,1061.0,67.0,5.0,2500.0,59.0
50,Ford Fiesta 1.4 ZXi Duratec,2011.0,200000.0,70000.0,3,1,1,2,16.6,1388.0,68.0,5.0,2500.0,59.0
51,Maruti Omni E MPI STD BS IV,2018.0,254999.0,25000.0,3,1,1,0,16.8,796.0,34.2,8.0,1750.0,200.0
52,Hyundai Verna CRDi SX,2007.0,185000.0,90000.0,1,1,1,1,16.8,1493.0,110.0,5.0,1750.0,200.0
53,Maruti Vitara Brezza LDi Option,2017.0,670000.0,70000.0,1,1,1,0,24.3,1248.0,88.5,5.0,3000.0,59.820564999999995
54,Tata Indigo GLX,2011.0,150000.0,150000.0,3,1,1,0,12.8,1396.0,85.0,5.0,3000.0,59.820564999999995
55,Tata Indigo LS,2010.0,120000.0,100000.0,1,1,1,2,17.0,1405.0,70.0,5.0,4000.0,114.7
56,Maruti Omni 8 Seater BSIV,2012.0,150000.0,35000.0,3,1,1,2,14.0,796.0,35.0,5.0,1750.0,200.0
57,Hyundai Accent GLX,2003.0,110000.0,90000.0,3,1,1,2,13.2,1495.0,94.0,5.0,1750.0,200.0
58,Hyundai i20 1.2 Asta Dual Tone,2018.0,730000.0,2388.0,3,1,1,0,18.6,1197.0,81.83,5.0,3500.0,60.0
59,Ford Fusion 1.4 TDCi Diesel,2009.0,150000.0,100000.0,1,1,1,1,17.7,1399.0,68.0,5.0,3500.0,60.0
60,Maruti Vitara Brezza LDi,2017.0,650000.0,16200.0,1,1,1,0,24.3,1248.0,88.5,5.0,3500.0,90.0
61,Honda City 2017-2020 GXi,2006.0,165000.0,110000.0,3,1,1,2,17.7,1497.0,78.0,5.0,3500.0,90.0
62,Maruti Alto 800 CNG LXI Optional,2019.0,330000.0,10000.0,0,1,1,2,33.44,796.0,40.3,4.0,4850.0,151.0
63,Hyundai i20 1.2 Sportz,2011.0,315000.0,80000.0,3,1,1,0,17.0,1197.0,80.0,5.0,4850.0,151.0
64,Maruti Alto K10 VXI Airbag,2019.0,366000.0,15000.0,3,1,1,0,23.95,998.0,67.1,5.0,4000.0,104.0
65,Hyundai Verna CRDi SX ABS,2009.0,280000.0,120000.0,1,1,1,0,18.1,1493.0,110.0,5.0,4000.0,104.0
66,Hyundai Verna VTVT 1.6 SX Option,2019.0,1149000.0,5000.0,3,1,1,0,17.0,1591.0,121.3,5.0,2700.0,320.0
67,Hyundai Verna CRDi SX,2008.0,220000.0,85000.0,1,1,1,2,16.8,1493.0,110.0,5.0,2700.0,320.0
68,Datsun GO D,2016.0,150000.0,42000.0,3,1,1,0,20.63,1198.0,67.0,5.0,2500.0,59.0
69,Tata Indigo LS BSII,2006.0,100000.0,120000.0,1,1,1,4,16.1,1405.0,70.0,5.0,2500.0,59.0
70,Tata Safari DICOR 2.2 LX 4x2,2011.0,425000.0,60000.0,1,1,1,2,13.93,2179.0,138.03,7.0,2500.0,250.0
71,Tata Indica V2 DLS TC,2008.0,100000.0,40000.0,1,1,1,0,16.8,1405.0,62.0,5.0,2500.0,250.0
72,Maruti 800 Std,2012.0,150000.0,76000.0,3,1,1,0,16.1,796.0,37.0,4.0,4600.0,145.0
73,Hyundai Verna Xi (Petrol),2006.0,170000.0,110000.0,3,1,1,1,13.9,1599.0,103.2,5.0,4600.0,145.0
74,Jeep Compass 1.4 Limited Plus BSIV,2019.0,2100000.0,5000.0,3,1,0,0,16.0,1368.0,160.77,5.0,4800.0,146.0
75,Ford Fiesta EXi 1.4 TDCi Ltd,2011.0,300000.0,110000.0,1,1,1,4,17.8,1399.0,68.0,5.0,4800.0,146.0
76,Honda City i VTEC VX,2018.0,925000.0,28900.0,3,0,1,0,17.8,1497.0,117.3,5.0,4000.0,115.0
77,Tata Indica V2 DLG TC,2008.0,175000.0,120000.0,1,1,1,4,16.8,1405.0,68.0,5.0,4000.0,115.0
78,Honda City V MT,2013.0,425000.0,86300.0,3,0,1,0,16.8,1497.0,116.3,5.0,1750.0,200.0
79,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010.0,270000.0,185000.0,1,1,1,0,14.8,2499.0,80.0,7.0,1750.0,200.0
80,Maruti Swift Dzire VXi AT,2018.0,675000.0,23300.0,3,0,0,0,18.5,1197.0,83.14,5.0,3500.0,90.0
81,Tata Indica V2 DLS,2011.0,100000.0,80000.0,1,1,1,0,17.2,1396.0,53.5,5.0,3500.0,90.0
82,Maruti Vitara Brezza VDi,2018.0,819999.0,32600.0,1,0,1,0,24.3,1248.0,88.5,5.0,3400.0,343.0
83,Chevrolet Spark 1.0 E,2009.0,90000.0,50000.0,3,1,1,2,16.0,995.0,63.0,5.0,3400.0,343.0
84,Maruti Alto K10 VXI,2018.0,390000.0,10300.0,3,0,1,0,23.95,998.0,67.05,5.0,3400.0,200.0
85,Maruti SX4 Vxi BSIII,2007.0,160000.0,120000.0,3,1,1,2,15.0,1586.0,104.68,5.0,3400.0,200.0
86,Toyota Fortuner 4x4 MT,2014.0,1500000.0,77000.0,1,0,1,0,12.55,2982.0,168.5,7.0,4000.0,200.0
87,Tata Indica V2 DLS TC,2004.0,55000.0,90000.0,1,1,1,4,16.8,1405.0,62.0,5.0,4000.0,200.0
88,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013.0,700000.0,99000.0,1,0,1,0,12.99,2494.0,100.0,7.0,1750.0,200.0
89,Maruti Swift Glam,2007.0,170000.0,78000.0,3,1,1,2,16.1,1298.0,88.2,5.0,1750.0,200.0
90,Mercedes-Benz B Class B180,2014.0,1450000.0,27800.0,1,0,0,2,14.8,2143.0,120.7,5.0,2500.0,400.0
91,Tata Nano Cx BSIV,2010.0,55000.0,50000.0,3,1,1,4,26.0,624.0,35.0,4.0,2500.0,400.0
92,Honda Amaze S Diesel,2015.0,425000.0,49800.0,1,0,1,0,24.7,1498.0,98.63,5.0,1750.0,200.0
93,Ford Fiesta 1.4 Duratec EXI,2006.0,140000.0,60000.0,3,1,1,2,16.6,1388.0,68.0,5.0,1750.0,200.0
94,Mitsubishi Pajero Sport 4X4,2013.0,1090000.0,151000.0,1,0,1,0,13.5,2477.0,175.56,7.0,4400.0,138.0
95,Ford Fiesta EXi 1.4 TDCi Ltd,2011.0,170000.0,80000.0,1,1,1,4,17.8,1399.0,68.0,5.0,4400.0,138.0
96,Honda City i DTEC S,2015.0,600000.0,54700.0,1,0,1,0,26.0,1498.0,98.6,5.0,1750.0,200.0
97,Hyundai Verna CRDi SX ABS,2009.0,210000.0,90000.0,1,1,1,2,18.1,1493.0,110.0,5.0,1750.0,200.0
98,Maruti Ciaz Zeta,2018.0,850000.0,64000.0,3,0,1,0,20.65,1462.0,103.25,5.0,3400.0,360.0
99,Honda City 2017-2020 GXi,2006.0,93150.0,80000.0,3,1,1,2,17.7,1497.0,78.0,5.0,3400.0,360.0
100,Honda Jazz VX Diesel,2015.0,525000.0,63000.0,1,0,1,0,27.3,1498.0,98.6,5.0,3600.0,200.0
101,Hyundai Elantra CRDi,2006.0,155000.0,110000.0,1,1,1,1,14.9,1991.0,112.2,5.0,3600.0,200.0
102,Toyota Innova Crysta 2.8 ZX AT BSIV,2016.0,1650000.0,127700.0,1,0,0,2,11.36,2755.0,171.5,7.0,2500.0,380.0
103,Mahindra Renault Logan 1.4 GLX Petrol,2009.0,135000.0,120000.0,3,1,1,0,15.7,1390.0,75.0,5.0,2500.0,380.0
104,Toyota Innova 2.5 G (Diesel) 7 Seater,2016.0,950000.0,99000.0,1,0,1,0,12.99,2494.0,100.6,7.0,4000.0,173.0
105,Hyundai i20 Asta Optional With Sunroof 1.2,2010.0,220000.0,90000.0,3,1,1,1,17.0,1197.0,80.0,5.0,4000.0,173.0
106,Audi A6 2.0 TDI Technology,2013.0,1750000.0,33900.0,1,0,0,2,17.68,1968.0,174.33,5.0,3000.0,400.0
107,Maruti Wagon R LXI DUO BSIII,2007.0,105000.0,90000.0,2,1,1,2,17.3,1061.0,57.5,5.0,3000.0,400.0
108,Toyota Corolla Altis 1.8 VL CVT,2018.0,1590000.0,25000.0,3,0,0,0,14.28,1798.0,138.03,5.0,2800.0,400.0
109,Mahindra Renault Logan 1.5 Diesel DLSX,2009.0,200000.0,176000.0,1,1,1,2,17.0,1461.0,66.0,5.0,2800.0,400.0
110,Audi A6 2.0 TDI  Design Edition,2013.0,1689999.0,50000.0,1,0,0,0,18.53,1968.0,187.74,5.0,3000.0,200.0
111,Mahindra Renault Logan 1.5 DLX Diesel,2007.0,175000.0,99000.0,1,1,1,2,19.2,1461.0,65.0,5.0,3000.0,200.0
112,Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,1,0,0,0,14.84,2143.0,170.0,5.0,4000.0,111.7
113,Tata Indica V2 DLS TC,2006.0,110000.0,88000.0,1,1,1,2,16.8,1405.0,62.0,5.0,4000.0,111.7
114,Tata Manza ELAN Quadrajet BS IV,2011.0,265000.0,120000.0,1,1,1,0,21.12,1248.0,88.8,5.0,2750.0,219.6
115,Hyundai i20 Magna,2010.0,300000.0,49000.0,3,1,1,0,18.5,1197.0,80.0,5.0,2750.0,219.6
116,Hyundai i10 Magna,2011.0,190000.0,110000.0,3,1,1,4,20.36,1197.0,78.9,5.0,2000.0,190.0
117,Hyundai Verna CRDi,2008.0,120000.0,120000.0,1,1,1,2,16.8,1493.0,110.0,5.0,2000.0,190.0
118,Hyundai i20 Asta 1.4 CRDi,2013.0,425000.0,60000.0,1,1,1,0,21.27,1396.0,88.76,5.0,4000.0,112.0
119,Hyundai Verna Xi (Petrol),2008.0,160000.0,100000.0,3,1,1,1,13.9,1599.0,103.2,5.0,4000.0,112.0
120,Maruti Swift Dzire ZDI,2015.0,630000.0,147000.0,1,1,1,2,26.59,1248.0,74.0,5.0,4000.0,115.0
121,Tata Indigo LX,2012.0,300000.0,80000.0,1,1,1,0,17.0,1405.0,70.0,5.0,4000.0,115.0
122,Ford Figo 1.2P Titanium MT,2017.0,600000.0,25000.0,3,1,1,4,18.16,1196.0,86.8,5.0,3000.0,250.0
123,Tata New Safari 4X2,2007.0,300000.0,110000.0,3,1,1,2,12.0,2092.0,127.0,7.0,3000.0,250.0
124,Maruti Baleno Delta 1.2,2019.0,650000.0,30000.0,3,1,1,0,21.4,1197.0,83.1,5.0,1750.0,200.0
125,Mercedes-Benz E-Class E270 CDI,2005.0,800000.0,120005.0,1,1,0,2,11.0,2987.0,198.5,5.0,1750.0,200.0
126,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016.0,540000.0,40000.0,1,1,1,0,22.0,1498.0,108.495,5.0,3500.0,90.0
127,Tata Indigo V BSIII,2012.0,229999.0,50000.0,1,1,1,0,17.0,1405.0,70.0,5.0,3500.0,90.0
128,Honda City i DTEC VX,2015.0,630000.0,135000.0,1,1,1,0,25.1,1498.0,98.6,5.0,3000.0,250.0
129,Volkswagen Jetta 1.6 Trendline,2010.0,225000.0,80000.0,3,1,1,2,14.0,1595.0,102.0,5.0,3000.0,250.0
130,Maruti Wagon R AMT VXI,2018.0,448000.0,30000.0,3,1,0,0,20.51,998.0,67.0,5.0,1750.0,200.0
131,Tata Indica V2 DLS TC,2008.0,70000.0,100000.0,1,1,1,0,16.8,1405.0,62.0,5.0,1750.0,200.0
132,Volkswagen Ameo 1.5 TDI Comfortline,2017.0,500000.0,80000.0,1,1,1,0,21.66,1498.0,108.62,5.0,1750.0,200.0
133,Honda City 2017-2020 GXi,2008.0,250000.0,120000.0,3,1,1,2,17.7,1497.0,78.0,5.0,1750.0,200.0
134,Maruti Vitara Brezza VDi,2016.0,745000.0,70000.0,1,1,1,0,24.3,1248.0,88.5,5.0,4000.0,111.7
135,Maruti Wagon R LX BSIII,2010.0,200000.0,110000.0,3,1,1,2,17.3,1061.0,64.0,5.0,4000.0,111.7
136,Maruti Vitara Brezza ZDi Plus AMT,2019.0,1025000.0,9850.0,1,1,0,0,24.3,1248.0,88.5,5.0,2000.0,190.0
137,Mercedes-Benz New C-Class C 220 CDI Elegance MT,2018.0,2950000.0,46000.0,1,0,1,0,15.8,2148.0,170.0,5.0,2000.0,190.0
138,Hyundai i10 Magna,2011.0,235000.0,60000.0,3,1,1,2,20.36,1197.0,78.9,5.0,3400.0,343.0
139,Mahindra Logan Diesel 1.5 DLE,2011.0,180000.0,190000.0,1,1,1,4,19.2,1461.0,65.0,5.0,3400.0,343.0
140,Maruti Swift VDI Deca,2016.0,630000.0,70000.0,1,1,1,0,25.2,1248.0,74.0,5.0,2000.0,190.0
141,Tata Indigo GLS,2005.0,90000.0,74000.0,3,1,1,2,12.8,1396.0,85.0,5.0,2000.0,190.0
142,Toyota Fortuner 4x4 MT,2015.0,1700000.0,78000.0,1,1,1,2,12.55,2982.0,168.5,7.0,4000.0,130.0
143,Tata Indigo LS,2008.0,150000.0,60000.0,1,1,1,4,17.0,1405.0,70.0,5.0,4000.0,130.0
144,Maruti Swift Star VDI,2013.0,450000.0,120000.0,1,1,1,2,22.9,1248.0,74.0,5.0,2500.0,250.0
145,Mahindra Scorpio 2.6 Turbo 9 Str,2006.0,250000.0,185000.0,1,1,1,0,12.7,2609.0,116.6,9.0,2500.0,250.0
146,Maruti Ertiga ZXI,2012.0,450000.0,120000.0,3,1,1,2,16.02,1373.0,93.7,7.0,3600.0,200.0
147,Tata Sumo EX 10/7 Str BSIII,2012.0,200000.0,67500.0,1,1,1,0,12.2,1948.0,68.0,0.0,3600.0,200.0
148,Maruti Wagon R LXI DUO BSIII,2008.0,170000.0,112000.0,2,1,1,2,17.3,1061.0,57.5,5.0,3250.0,205.0
149,Volkswagen Vento Diesel Highline,2013.0,450000.0,170000.0,1,1,1,0,20.54,1598.0,103.6,5.0,4600.0,280.0
150,Maruti Wagon R LXI DUO BSIII,2010.0,200000.0,40000.0,2,1,1,1,17.3,1061.0,57.5,5.0,4600.0,280.0
151,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016.0,1200000.0,140000.0,1,1,1,0,12.99,2494.0,100.6,8.0,3500.0,90.0
152,Tata Indigo LX,2005.0,140000.0,90000.0,1,1,1,4,16.1,1405.0,70.0,5.0,3500.0,90.0
153,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015.0,610000.0,90000.0,1,1,1,0,22.77,1498.0,98.59,5.0,4000.0,104.0
154,Ford Ikon 1.3 CLXi,2003.0,110000.0,83000.0,3,1,1,2,13.8,1299.0,70.0,5.0,4000.0,104.0
155,BMW X1 sDrive20i xLine,2016.0,2500000.0,30000.0,3,1,0,2,15.71,1998.0,189.0,5.0,3500.0,69.0
156,Hyundai i20 1.2 Asta,2011.0,300000.0,138000.0,3,1,1,4,17.0,1197.0,80.0,5.0,3500.0,69.0
157,Maruti Celerio ZXI MT BSIV,2017.0,484999.0,10000.0,3,0,1,0,23.1,998.0,67.04,5.0,3500.0,69.0
158,Hyundai i20 Magna,2010.0,200000.0,120000.0,3,1,1,4,18.5,1197.0,80.0,5.0,3500.0,69.0
159,Datsun GO A Petrol,2016.0,275000.0,49000.0,3,0,1,0,19.02,1198.0,67.05,5.0,4500.0,99.04
160,Maruti SX4 Zxi BSIII,2010.0,300000.0,22000.0,3,1,1,0,15.0,1586.0,104.68,5.0,4500.0,99.04
161,Maruti Alto 800 VXI BSIV,2016.0,315000.0,32000.0,3,0,1,0,24.7,796.0,47.3,5.0,3000.0,59.820564999999995
162,Maruti SX4 Zxi with Leather BSIII,2008.0,150000.0,89000.0,3,1,1,2,15.6,1586.0,104.68,5.0,3000.0,59.820564999999995
163,Maruti Alto 800 LXI BSIV,2016.0,275000.0,38000.0,3,0,1,0,24.7,796.0,47.3,5.0,3500.0,77.0
164,Hyundai i20 1.2 Sportz,2012.0,350000.0,35000.0,3,1,1,0,17.0,1197.0,80.0,5.0,3500.0,77.0
165,Hyundai i20 1.2 Sportz,2011.0,300000.0,45000.0,3,1,1,0,17.0,1197.0,80.0,5.0,3750.0,110.0
166,Hyundai i10 Era 1.1,2012.0,290000.0,28000.0,3,0,1,0,19.81,1086.0,68.05,5.0,4500.0,99.04
167,Hyundai Accent GLE,2005.0,150000.0,120000.0,3,1,1,0,13.2,1495.0,94.0,5.0,4500.0,99.04
168,Maruti Omni 8 Seater BSIV,2017.0,280000.0,32000.0,3,0,1,0,14.0,796.0,35.0,5.0,3800.0,153.0
169,Hyundai i20 1.2 Magna,2011.0,350000.0,98000.0,3,1,1,0,18.5,1197.0,80.0,5.0,3800.0,153.0
170,Maruti Wagon R LXI LPG BSIV,2010.0,225000.0,44000.0,2,0,1,0,26.2,998.0,58.2,5.0,3500.0,90.0
171,Hyundai Verna CRDi SX,2008.0,245000.0,127000.0,1,1,1,2,16.8,1493.0,110.0,5.0,3500.0,90.0
172,Volkswagen Polo 1.2 MPI Comfortline,2015.0,455000.0,42000.0,3,0,1,0,16.47,1198.0,74.0,5.0,4000.0,113.7
173,Honda City 2017-2020 GXi,2006.0,270000.0,70000.0,3,1,1,2,17.7,1497.0,78.0,5.0,4000.0,113.7
174,Hyundai i10 Magna 1.1L,2015.0,351000.0,45000.0,3,0,1,2,19.81,1086.0,68.05,5.0,2000.0,190.0
175,Hyundai Verna 1.6 Xi ABS,2006.0,170000.0,90000.0,3,1,1,4,13.9,1599.0,103.2,5.0,2000.0,190.0
176,Volkswagen Vento Petrol Highline,2012.0,535000.0,12000.0,3,0,1,2,15.04,1598.0,103.6,5.0,4000.0,114.0
177,Ford Fusion Plus 1.4 TDCi Diesel,2008.0,90000.0,110000.0,1,1,1,2,17.7,1399.0,68.0,5.0,4000.0,114.0
178,Maruti Zen Estilo LXI BSIII,2009.0,175000.0,55500.0,3,0,1,0,18.2,998.0,67.1,5.0,3000.0,62.0
179,Hyundai i20 Magna,2010.0,210000.0,50000.0,3,1,1,2,18.5,1197.0,80.0,5.0,3000.0,62.0
180,Hyundai i20 Asta Optional with Sunroof 1.2,2013.0,525000.0,61500.0,3,0,1,0,18.5,1197.0,82.85,5.0,2750.0,219.7
181,Maruti Swift VXI with ABS,2009.0,270000.0,80000.0,3,1,1,0,16.6,1197.0,85.0,5.0,2750.0,219.7
182,Maruti Swift Dzire LDI,2016.0,600000.0,150000.0,1,1,1,0,26.59,1248.0,74.0,5.0,3500.0,90.0
183,Chevrolet Aveo U-VA 1.2,2007.0,65000.0,30000.0,3,1,1,2,14.7,1150.0,76.0,5.0,3500.0,90.0
184,Hyundai Xcent 1.2 Kappa SX Option AT,2016.0,565000.0,72000.0,3,0,0,0,19.1,1197.0,82.0,5.0,3000.0,200.0
185,Toyota Corolla AE,2004.0,170000.0,120000.0,3,1,1,2,13.4,1794.0,125.0,5.0,3000.0,200.0
186,Maruti Alto LX BSIII,2008.0,120000.0,68000.0,3,0,1,4,19.7,796.0,46.3,5.0,4200.0,113.0
187,Ford Fiesta EXi 1.4 TDCi Ltd,2011.0,275000.0,120000.0,1,1,1,2,17.8,1399.0,68.0,5.0,4200.0,113.0
188,Hyundai i20 1.4 Asta Option,2017.0,725000.0,110000.0,1,1,1,0,22.54,1396.0,88.73,5.0,3000.0,101.0
189,Tata Indigo LS,2009.0,135000.0,137000.0,1,1,1,2,17.0,1405.0,70.0,5.0,3000.0,101.0
190,Maruti Wagon R VXI,2009.0,185000.0,77000.0,3,0,1,2,21.79,998.0,67.05,5.0,4000.0,115.0
191,Tata Indigo LX,2009.0,85000.0,80000.0,1,1,1,2,17.0,1405.0,70.0,5.0,4000.0,115.0
192,Tata Manza Aura (ABS) Quadrajet,2010.0,200000.0,100000.0,1,1,1,2,18.8,1248.0,90.0,5.0,2800.0,290.0
193,Maruti Swift VXI with ABS,2007.0,250000.0,60000.0,3,1,1,0,16.6,1197.0,85.0,5.0,2800.0,290.0
194,Maruti Swift VXI,2019.0,615000.0,10000.0,3,1,1,0,21.21,1197.0,81.8,5.0,4250.0,120.0
195,Honda City 2017-2020 EXi,2008.0,215000.0,110000.0,3,1,1,2,17.7,1497.0,78.0,5.0,4250.0,120.0
196,Maruti Eeco 7 Seater Standard BSIV,2016.0,270000.0,100000.0,3,1,1,4,15.37,1196.0,73.0,7.0,4850.0,151.0
197,Tata Indigo LS,2007.0,130000.0,100000.0,1,1,1,4,16.1,1405.0,70.0,5.0,4850.0,151.0
198,Maruti Baleno Zeta 1.2,2018.0,610000.0,35000.0,3,1,1,0,21.4,1197.0,83.1,5.0,4500.0,250.0
199,Hyundai Elantra GT,2006.0,175000.0,25000.0,3,1,1,4,13.0,1795.0,127.0,5.0,4500.0,250.0
200,Mahindra Scorpio VLX AT AIRBAG BSIV,2014.0,625000.0,70000.0,1,1,0,2,11.79,2179.0,120.0,8.0,3000.0,96.0
201,Mahindra Renault Logan 1.5 DLE Diesel,2009.0,125000.0,120000.0,1,1,1,4,19.2,1461.0,65.0,5.0,3000.0,96.0
202,Ford Freestyle Titanium Petrol BSIV,2020.0,400000.0,5000.0,3,1,1,2,19.0,1194.0,94.68,5.0,2800.0,360.0
